asset_id,platform,ts_utc,listed_for,sold_for,ea_tax,net_price
arda-guler-fantasy-fc,ps,2026-03-30T16:51:00,799000,799000,39950,759050
arda-guler-fantasy-fc,ps,2026-03-30T17:08:00,781000,781000,39050,741950
arda-guler-fantasy-fc,ps,2026-03-30T19:17:00,880000,769000,38450,730550
arda-guler-fantasy-fc,ps,2026-03-30T20:22:00,790000,790000,39500,750500
arda-guler-fantasy-fc,ps,2026-03-30T20:26:00,785000,785000,39250,745750
arda-guler-fantasy-fc,ps,2026-03-30T21:15:00,890000,890000,44500,845500
arda-guler-fantasy-fc,ps,2026-03-30T21:41:00,870000,870000,43500,826500
arda-guler-fantasy-fc,ps,2026-03-30T21:56:00,850000,850000,42500,807500
arda-guler-fantasy-fc,ps,2026-03-30T23:32:00,862000,862000,43100,818900
arda-guler-fantasy-fc,ps,2026-03-31T02:49:00,900000,801000,40050,760950
arda-guler-fantasy-fc,ps,2026-03-31T03:04:00,835000,835000,41750,793250
arda-guler-fantasy-fc,ps,2026-03-31T03:07:00,832000,832000,41600,790400
arda-guler-fantasy-fc,ps,2026-03-31T04:36:00,865000,865000,43250,821750
arda-guler-fantasy-fc,ps,2026-03-31T05:22:00,795000,795000,39750,755250
arda-guler-fantasy-fc,ps,2026-03-31T05:47:00,875000,875000,43750,831250
arda-guler-fantasy-fc,ps,2026-03-31T06:04:00,870000,870000,43500,826500
arda-guler-fantasy-fc,ps,2026-03-31T07:23:00,850000,850000,42500,807500
arda-guler-fantasy-fc,ps,2026-03-31T07:28:00,849000,849000,42450,806550
arda-guler-fantasy-fc,ps,2026-03-31T08:09:00,900000,800000,40000,760000
arda-guler-fantasy-fc,ps,2026-03-31T08:48:00,880000,880000,44000,836000
arda-guler-fantasy-fc,ps,2026-03-31T11:36:00,815000,815000,40750,774250
arda-guler-fantasy-fc,ps,2026-03-31T12:27:00,800000,800000,40000,760000
arda-guler-fantasy-fc,ps,2026-03-31T12:43:00,830000,830000,41500,788500
